OpportunityID,CustomerID,OpportunityName,Stage,ExpectedCloseDate,ExpectedRevenue,Owner,Probability
OPP031,CUST018,Innovate Cutting-Edge Applications,Closed Won,2025-08-06,10936.35,Mark,10
OPP032,CUST008,Extend Rich Info-Mediaries,Closed Lost,2025-07-17,15516.84,Nicholas,50
OPP033,CUST010,Seize Virtual E-Services,Closed Lost,2025-09-25,2453.5,Wesley,70
OPP034,CUST011,Syndicate Clicks-And-Mortar Markets,Negotiation,2025-07-24,12918.18,Kristin,50
OPP035,CUST002,Mesh Visionary Networks,Negotiation,2025-10-13,12688.61,Ronnie,90
OPP036,CUST020,Seize Scalable Web-Readiness,Lead,2025-11-13,3081.78,Christopher,50
OPP037,CUST011,Disintermediate Ubiquitous Channels,Qualified,2025-10-11,19335.11,Christopher,10
OPP038,CUST009,Aggregate Web-Enabled Channels,Closed Won,2025-12-22,17475.3,Lisa,90
OPP039,CUST020,Syndicate Seamless Models,Closed Won,2025-07-16,8306.33,Yolanda,50
OPP040,CUST019,Syndicate Real-Time Vortals,Closed Won,2025-12-28,19587.5,Michelle,10
OPP041,CUST012,Integrate Killer Supply-Chains,Closed Won,2025-09-01,14406.33,Michelle,10
OPP042,CUST019,Leverage E-Business Infrastructures,Qualified,2025-10-05,7866.97,Tabitha,70
OPP043,CUST011,Scale Scalable Deliverables,Proposal,2025-11-17,16467.56,Stephanie,10
OPP044,CUST010,E-Enable Frictionless Supply-Chains,Closed Won,2025-12-16,7721.62,Amber,30
OPP045,CUST019,Reinvent Seamless E-Markets,Qualified,2025-09-08,10964.49,David,10
OPP046,CUST001,Strategize World-Class Solutions,Lead,2025-12-07,2127.07,John,30
OPP047,CUST007,Envisioneer Back-End Bandwidth,Closed Won,2025-11-30,11132.6,Richard,10
OPP048,CUST007,Leverage Cross-Platform Bandwidth,Negotiation,2025-09-10,19419.84,Ronald,10
OPP049,CUST017,Redefine Dot-Com Communities,Lead,2025-12-16,10762.21,Kristina,30
OPP050,CUST007,Unleash Synergistic Solutions,Proposal,2025-10-28,9724.4,Chris,50
OPP051,CUST008,Synthesize Viral Bandwidth,Lead,2025-10-15,12637.65,Kimberly,90
OPP052,CUST013,Facilitate Plug-And-Play Markets,Negotiation,2025-12-08,12435.54,Kayla,30
OPP053,CUST012,Mesh Dot-Com Interfaces,Negotiation,2025-09-28,15322.85,Stacey,10
OPP054,CUST014,Harness Virtual Content,Lead,2025-08-11,5047.23,Morgan,50
OPP055,CUST009,Incubate End-To-End E-Tailers,Qualified,2025-07-21,7966.84,Virginia,70
OPP056,CUST016,Productize Holistic Portals,Closed Won,2025-08-03,8015.75,Jennifer,30
OPP057,CUST006,Synthesize Mission-Critical Deliverables,Proposal,2025-11-03,18304.68,Mary,30
OPP058,CUST012,Orchestrate Killer E-Markets,Lead,2025-12-26,8980.86,Valerie,50
OPP059,CUST014,Unleash Virtual Eyeballs,Closed Won,2025-11-18,16105.55,Tanya,70
OPP060,CUST003,Generate Interactive Info-Mediaries,Lead,2025-08-03,15843.88,Tina,70
OPP061,CUST010,Streamline Web-Enabled Systems,Lead,2025-09-11,2030.11,Diana,10
OPP062,CUST018,Optimize Compelling Metrics,Closed Won,2025-10-05,14782.44,Tracey,70
OPP063,CUST002,Iterate Intuitive Schemas,Lead,2025-09-28,9705.56,Monique,30
OPP064,CUST003,Monetize Leading-Edge Vortals,Qualified,2025-09-12,9085.79,Ricky,30
OPP065,CUST017,Orchestrate Bleeding-Edge Users,Closed Won,2025-12-14,12074.97,William,30
OPP066,CUST014,Architect Synergistic Eyeballs,Closed Lost,2025-11-25,16334.71,Sarah,50
OPP067,CUST002,Syndicate Dynamic Web-Readiness,Proposal,2025-11-22,18219.33,Robert,70
OPP068,CUST007,Optimize Proactive Initiatives,Lead,2025-07-26,15725.13,Donald,90
OPP069,CUST002,Aggregate Cross-Media Metrics,Qualified,2025-09-15,14471.18,Johnny,30
OPP070,CUST002,Incubate Mission-Critical Experiences,Closed Lost,2025-07-26,9520.09,Linda,30
OPP071,CUST012,Incubate Compelling Niches,Qualified,2025-08-25,18241.15,Julia,10
OPP072,CUST004,Revolutionize World-Class Schemas,Closed Lost,2025-12-19,7277.91,Jenny,90
OPP073,CUST006,Disintermediate Cross-Platform Architectures,Lead,2025-11-05,19828.54,David,10
OPP074,CUST009,Generate Integrated Content,Closed Lost,2025-09-11,1931.44,Todd,70
OPP075,CUST004,Deliver Impactful Models,Closed Lost,2025-12-01,9669.9,Jessica,70
OPP076,CUST002,Synthesize Real-Time Roi,Negotiation,2025-10-07,18616.63,Julie,70
OPP077,CUST019,Optimize Holistic Relationships,Proposal,2025-10-11,2239.12,Katelyn,10
OPP078,CUST003,Maximize Web-Enabled Users,Closed Lost,2025-08-16,9550.07,Jacob,50
OPP079,CUST018,Leverage Viral Web-Readiness,Closed Won,2025-10-16,17506.63,Susan,70
OPP080,CUST002,Morph Plug-And-Play Markets,Closed Won,2025-12-08,13019.92,Scott,10
OPP081,CUST016,Whiteboard Interactive Platforms,Negotiation,2025-08-27,19059.26,Jeffrey,50
OPP082,CUST008,Aggregate 24/365 Models,Proposal,2025-09-11,7882.41,Holly,70
OPP083,CUST019,Repurpose Killer Relationships,Closed Won,2025-10-27,12270.26,Kaitlyn,70
OPP084,CUST009,Repurpose Killer Platforms,Closed Lost,2025-07-02,13069.62,Donald,90
OPP085,CUST007,Aggregate World-Class Paradigms,Closed Lost,2025-07-20,8312.97,Jose,70
OPP086,CUST018,Streamline Innovative E-Business,Closed Lost,2025-09-05,18862.31,Jamie,70
OPP087,CUST019,Repurpose Collaborative E-Tailers,Negotiation,2025-11-23,2296.96,Melissa,10
OPP088,CUST013,Enhance Killer Technologies,Closed Lost,2025-11-18,19092.47,Amanda,50
OPP089,CUST011,Incubate Impactful Niches,Negotiation,2025-06-30,5240.52,Megan,30
OPP090,CUST001,Engage Plug-And-Play Platforms,Closed Lost,2025-08-02,17200.5,Jacqueline,70
OPP091,CUST003,Matrix 24/365 Deliverables,Lead,2025-10-04,2740.03,Kathryn,10
OPP092,CUST005,Engage Real-Time Systems,Closed Won,2025-12-15,1738.17,Stephanie,50
OPP093,CUST016,Enable Wireless E-Tailers,Qualified,2025-11-09,9760.3,John,10
OPP094,CUST009,Mesh Dynamic Architectures,Qualified,2025-09-06,7157.65,Stacey,70
OPP095,CUST012,Harness Out-Of-The-Box E-Business,Proposal,2025-07-08,12771.88,Benjamin,50
OPP096,CUST020,Envisioneer Ubiquitous Partnerships,Closed Won,2025-10-24,16249.31,Amanda,50
OPP097,CUST007,Harness Turn-Key Markets,Closed Lost,2025-08-16,8819.7,Christopher,10
OPP098,CUST020,Leverage Clicks-And-Mortar Technologies,Closed Lost,2025-12-05,17449.34,Mary,50
OPP099,CUST013,Engineer Real-Time Web Services,Qualified,2025-12-03,17233.45,Phillip,10
OPP100,CUST020,Harness B2C Paradigms,Qualified,2025-07-17,7835.29,Alexandra,70
OPP101,CUST007,Embrace E-Business Solutions,Closed Won,2025-09-06,13603.45,Jennifer,30
OPP102,CUST016,Deploy Strategic Partnerships,Lead,2025-12-02,5627.74,Molly,90
OPP103,CUST006,Drive Transparent Interfaces,Closed Lost,2025-10-08,3897.93,Justin,50
OPP104,CUST015,Innovate Plug-And-Play Niches,Closed Lost,2025-12-13,19338.74,Jessica,30
OPP105,CUST002,Grow Best-Of-Breed E-Services,Negotiation,2025-12-29,14439.19,Richard,30
OPP106,CUST009,Generate Real-Time Convergence,Closed Won,2025-10-10,5393.59,Stephen,30
OPP107,CUST006,Whiteboard User-Centric Roi,Negotiation,2025-09-21,1120.36,Erika,10
OPP108,CUST016,Facilitate Scalable Schemas,Closed Won,2025-08-07,18828.24,Gary,70
OPP109,CUST014,Enhance Integrated E-Markets,Closed Lost,2025-11-15,16199.36,Michael,70
OPP110,CUST020,Synthesize Compelling E-Business,Lead,2025-07-21,7087.19,Reginald,90
OPP111,CUST007,Synergize Dynamic E-Services,Closed Won,2025-11-22,1660.57,Catherine,30
OPP112,CUST019,Facilitate Seamless Bandwidth,Proposal,2025-08-11,11434.21,David,70
OPP113,CUST007,Scale Next-Generation Portals,Negotiation,2025-12-06,1197.94,John,10
OPP114,CUST018,Implement Distributed Convergence,Closed Won,2025-09-21,8547.15,Paul,30
OPP115,CUST016,Iterate Enterprise Architectures,Qualified,2025-11-17,3225.51,Brandon,30
OPP116,CUST003,Disintermediate Distributed E-Markets,Negotiation,2025-10-06,16753.42,Troy,50
OPP117,CUST011,Streamline End-To-End Vortals,Proposal,2025-10-04,5869.68,Tara,30
OPP118,CUST013,Scale Bricks-And-Clicks E-Business,Closed Lost,2025-10-04,4032.59,Colleen,70
OPP119,CUST001,Empower Leading-Edge Eyeballs,Proposal,2025-09-17,17948.23,Matthew,90
OPP120,CUST020,Drive Wireless E-Services,Closed Lost,2025-09-13,12190.35,Lori,10
OPP121,CUST012,Deploy Robust Communities,Negotiation,2025-09-04,13349.41,David,30
OPP122,CUST007,Grow Strategic Applications,Closed Lost,2025-09-01,9818.1,Megan,90
OPP123,CUST010,Transform Enterprise Synergies,Proposal,2025-10-07,5532.36,Sarah,50
OPP124,CUST015,Innovate Plug-And-Play Interfaces,Lead,2025-08-19,5758.97,Ricky,50
OPP125,CUST007,Implement 24/7 Synergies,Closed Lost,2025-11-10,18822.7,Stephen,70
OPP126,CUST013,Envisioneer Integrated Synergies,Qualified,2025-10-28,17143.53,Timothy,10
OPP127,CUST015,Transition Interactive Action-Items,Lead,2025-08-30,14132.07,Kyle,50
OPP128,CUST008,Embrace Innovative Relationships,Closed Lost,2025-08-02,15750.96,Gabriela,70
OPP129,CUST005,Implement Ubiquitous E-Services,Closed Lost,2025-08-31,5080.83,William,30
OPP130,CUST016,Visualize 24/7 Models,Qualified,2025-10-02,18015.26,Elizabeth,90
OPP131,CUST002,Integrate Cutting-Edge Eyeballs,Qualified,2025-12-15,2933.62,Rhonda,10
OPP132,CUST009,Redefine Holistic Content,Closed Won,2025-09-29,5193.93,Brittany,10
OPP133,CUST012,Target 24/7 Systems,Lead,2025-07-21,7096.36,Raymond,70
OPP134,CUST001,Grow Holistic Info-Mediaries,Proposal,2025-11-17,16627.62,Wyatt,30
OPP135,CUST012,Syndicate Front-End Applications,Closed Lost,2025-08-26,2757.99,Matthew,10
OPP136,CUST010,Grow Viral Roi,Lead,2025-10-02,11671.08,Pamela,90
OPP137,CUST008,Embrace Scalable Technologies,Lead,2025-11-06,8473.27,Amanda,90
OPP138,CUST017,Deploy Synergistic Solutions,Lead,2025-07-19,14820.89,Dawn,50
OPP139,CUST015,Target World-Class Mindshare,Closed Won,2025-10-02,16438.66,Christina,10
OPP140,CUST018,Expedite Vertical Initiatives,Proposal,2025-11-07,16938.5,Toni,70
OPP141,CUST005,Streamline Front-End Web-Readiness,Closed Lost,2025-10-08,5646.69,Carrie,10
OPP142,CUST015,Innovate Visionary Partnerships,Proposal,2025-12-13,4647.28,Michelle,10
OPP143,CUST004,Enhance Wireless Platforms,Closed Won,2025-11-16,3287.6,Wendy,90
OPP144,CUST012,Engineer Killer Web-Readiness,Qualified,2025-11-02,18319.68,Brenda,90
OPP145,CUST012,Reinvent Best-Of-Breed Solutions,Closed Won,2025-10-15,13045.21,David,90
OPP146,CUST006,Engage Dot-Com Experiences,Lead,2025-08-10,13944.84,Raymond,30
OPP147,CUST006,Evolve B2B Synergies,Lead,2025-11-04,13667.69,Jamie,10
OPP148,CUST020,Re-Contextualize Ubiquitous E-Markets,Closed Lost,2025-12-25,13806.3,Ronnie,70
OPP149,CUST007,Revolutionize Ubiquitous E-Business,Proposal,2025-12-03,19098.0,Ryan,10
OPP150,CUST013,Maximize Efficient Mindshare,Negotiation,2025-09-03,17778.08,Beth,10
OPP151,CUST002,Engage Robust Partnerships,Closed Lost,2025-12-11,13719.55,Amanda,10
OPP152,CUST009,Utilize Scalable Architectures,Proposal,2025-09-24,11424.02,Danny,30
OPP153,CUST001,Re-Contextualize Collaborative Communities,Qualified,2025-12-12,13206.83,Richard,10
OPP154,CUST012,Innovate User-Centric E-Business,Qualified,2025-07-31,18932.55,Cameron,90
OPP155,CUST020,Envisioneer Value-Added Networks,Proposal,2025-11-09,3581.06,Raymond,90
OPP156,CUST006,Visualize Front-End E-Markets,Qualified,2025-12-29,12301.89,Stephen,70
OPP157,CUST007,Redefine Vertical Communities,Closed Lost,2025-09-21,17084.88,Adam,10
OPP158,CUST001,Drive Cross-Media Channels,Closed Won,2025-11-25,18477.89,Thomas,70
OPP159,CUST001,Matrix Scalable Relationships,Lead,2025-10-07,17849.57,Gregory,50
OPP160,CUST005,Syndicate Strategic Supply-Chains,Qualified,2025-08-15,14203.76,Nicole,10
OPP161,CUST004,Expedite World-Class Mindshare,Proposal,2025-07-23,12439.9,Brett,50
OPP162,CUST017,Strategize Web-Enabled Communities,Closed Won,2025-11-20,17955.69,Zachary,10
OPP163,CUST016,Enhance Best-Of-Breed E-Business,Negotiation,2025-08-01,11689.91,Thomas,90
OPP164,CUST015,Morph Customized Action-Items,Closed Lost,2025-08-16,10166.57,John,70
OPP165,CUST001,Brand End-To-End Web Services,Closed Lost,2025-09-29,16823.29,Rebekah,70
OPP166,CUST011,Facilitate Intuitive Convergence,Closed Lost,2025-12-09,18534.87,Jonathan,10
OPP167,CUST004,Unleash Holistic Mindshare,Qualified,2025-12-17,10192.02,Anthony,10
OPP168,CUST015,Embrace B2B Supply-Chains,Closed Won,2025-11-10,12492.65,Sara,90
OPP169,CUST001,Utilize Frictionless Metrics,Negotiation,2025-10-07,16514.46,John,30
OPP170,CUST003,Iterate Bricks-And-Clicks Action-Items,Negotiation,2025-11-11,2148.88,Michael,90
OPP171,CUST011,Enhance Turn-Key Roi,Qualified,2025-11-16,10712.4,Angelica,30
OPP172,CUST018,Monetize Interactive Users,Closed Won,2025-08-31,3945.75,Jared,50
OPP173,CUST004,Orchestrate Distributed Mindshare,Closed Won,2025-07-17,9110.32,Jonathan,70
OPP174,CUST011,Redefine Compelling E-Business,Proposal,2025-08-07,2952.18,Barbara,30
OPP175,CUST015,Implement Revolutionary Markets,Proposal,2025-12-21,7576.22,Randy,90
OPP176,CUST016,Harness Robust E-Markets,Closed Lost,2025-11-17,2875.43,Joanna,30
OPP177,CUST018,Brand Viral Niches,Qualified,2025-08-22,14995.26,Paige,70
OPP178,CUST004,Iterate Revolutionary Technologies,Closed Lost,2025-11-28,17183.86,Reginald,70
OPP179,CUST010,Harness 24/365 Platforms,Qualified,2025-08-25,18646.49,Samuel,90
OPP180,CUST010,Whiteboard Holistic Paradigms,Proposal,2025-08-18,5445.83,Erin,30
OPP181,CUST004,Transform Frictionless Web Services,Lead,2025-12-21,12806.6,Michael,90
OPP182,CUST003,Unleash Robust Platforms,Proposal,2025-10-02,14841.24,Tanner,90
OPP183,CUST004,Matrix Cross-Platform Portals,Qualified,2025-10-24,7979.18,Zoe,90
OPP184,CUST010,Whiteboard End-To-End Platforms,Lead,2025-12-24,15015.61,David,90
OPP185,CUST007,Syndicate Clicks-And-Mortar Applications,Proposal,2025-11-12,9314.76,Julian,10
OPP186,CUST003,Re-Intermediate Virtual Initiatives,Proposal,2025-11-24,15419.5,Brandon,90
OPP187,CUST018,Revolutionize Integrated Mindshare,Qualified,2025-12-01,10410.13,Amber,90
OPP188,CUST017,Mesh Revolutionary Interfaces,Qualified,2025-11-17,1267.21,Alyssa,10
OPP189,CUST019,Engage Real-Time Supply-Chains,Closed Won,2025-09-30,19639.77,Robert,30
OPP190,CUST011,Envisioneer Sticky Applications,Proposal,2025-07-17,11981.33,Russell,70
OPP191,CUST015,Maximize Next-Generation Info-Mediaries,Lead,2025-12-25,17747.48,Christopher,70
OPP192,CUST006,Seize Clicks-And-Mortar Roi,Lead,2025-09-13,6767.68,Joseph,10
OPP193,CUST004,Deliver Visionary Web-Readiness,Qualified,2025-07-06,18654.74,Luke,50
OPP194,CUST006,Scale Proactive Paradigms,Lead,2025-12-06,16130.56,Christopher,70
OPP195,CUST012,Iterate Sticky Roi,Lead,2025-09-19,17770.87,Jennifer,10
OPP196,CUST008,Unleash Plug-And-Play E-Markets,Qualified,2025-12-29,3162.02,Chase,90
OPP197,CUST007,Monetize Dot-Com Interfaces,Negotiation,2025-07-12,14569.94,Melissa,30
OPP198,CUST008,Empower Bleeding-Edge Eyeballs,Closed Lost,2025-09-18,8916.34,Patricia,30
OPP199,CUST016,Engineer B2C Web Services,Proposal,2025-11-10,19079.28,Cynthia,10
OPP200,CUST007,Orchestrate Ubiquitous Niches,Qualified,2025-07-04,16922.89,Jonathan,90
OPP201,CUST012,Mesh Front-End Users,Qualified,2025-09-19,8415.83,Timothy,70
OPP202,CUST020,Aggregate Sticky Models,Negotiation,2025-09-07,12322.54,Sara,50
OPP203,CUST008,Mesh Next-Generation Markets,Lead,2025-10-05,10033.3,Amanda,50
OPP204,CUST014,Re-Intermediate Granular Partnerships,Qualified,2025-11-27,2972.39,Matthew,30
OPP205,CUST017,Enhance Revolutionary Supply-Chains,Closed Won,2025-06-30,14652.49,Jesse,90
OPP206,CUST015,Evolve 24/7 Partnerships,Proposal,2025-10-23,5856.14,Monica,10
OPP207,CUST011,Deploy Compelling Architectures,Lead,2025-12-01,13162.01,Rebecca,10
OPP208,CUST008,Expedite Interactive Action-Items,Lead,2025-11-30,2688.28,Emily,90
OPP209,CUST015,Deploy Rich Methodologies,Negotiation,2025-11-13,3977.52,Jill,50
OPP210,CUST018,Maximize Collaborative Communities,Proposal,2025-11-28,5491.83,Tiffany,10
OPP211,CUST002,Brand Next-Generation Technologies,Qualified,2025-09-06,7478.28,Makayla,30
OPP212,CUST012,Transition Bleeding-Edge Mindshare,Closed Won,2025-11-09,8516.35,Alex,90
OPP213,CUST010,Enable B2B Solutions,Qualified,2025-07-03,7825.07,Rachel,30
OPP214,CUST020,Embrace Killer Technologies,Qualified,2025-08-25,19687.37,Alexandra,70
OPP215,CUST003,Whiteboard 24/365 E-Services,Lead,2025-12-27,9669.14,Brittany,90
OPP216,CUST010,Disintermediate Plug-And-Play Partnerships,Closed Lost,2025-08-31,3138.34,Derek,50
OPP217,CUST011,Syndicate 24/365 Systems,Qualified,2025-08-06,14550.25,Nathan,90
OPP218,CUST010,Innovate End-To-End Content,Qualified,2025-07-24,15750.08,Michael,90
OPP219,CUST007,Engineer Cross-Media Platforms,Qualified,2025-08-14,3464.03,Jacqueline,90
OPP220,CUST017,Engineer Interactive Supply-Chains,Qualified,2025-09-18,1704.19,Brittney,50
OPP221,CUST012,Enhance Interactive E-Business,Lead,2025-07-14,13443.85,Dale,50
OPP222,CUST018,Scale Customized E-Commerce,Closed Lost,2025-08-17,1186.82,Timothy,10
OPP223,CUST006,Productize Cross-Media Schemas,Closed Lost,2025-12-12,9231.1,Chris,90
OPP224,CUST006,Envisioneer Extensible Partnerships,Negotiation,2025-07-10,2181.4,Christian,90
OPP225,CUST003,Architect Distributed Functionalities,Closed Lost,2025-09-19,10716.58,Jill,30
OPP226,CUST006,Deliver Revolutionary Paradigms,Closed Lost,2025-08-07,12978.18,Jonathan,50
OPP227,CUST018,Envisioneer Plug-And-Play Niches,Lead,2025-09-23,15750.01,Robert,70
OPP228,CUST020,Whiteboard Killer Solutions,Lead,2025-12-10,2030.62,Robert,30
OPP229,CUST016,Empower Robust Models,Negotiation,2025-07-03,19920.64,Scott,50
OPP230,CUST007,Re-Intermediate Magnetic Infrastructures,Qualified,2025-09-06,8428.33,Francisco,10
OPP231,CUST005,Harness Open-Source Schemas,Closed Lost,2025-10-07,4083.01,William,30
OPP232,CUST006,Enable Turn-Key Mindshare,Closed Lost,2025-10-21,2935.51,Thomas,70
OPP233,CUST020,Expedite World-Class Supply-Chains,Closed Won,2025-12-27,5094.06,Karen,90
OPP234,CUST013,Visualize 24/365 Synergies,Qualified,2025-12-27,18094.34,Joseph,90
OPP235,CUST017,Reinvent Clicks-And-Mortar E-Business,Closed Lost,2025-07-12,5297.28,Denise,30
OPP236,CUST002,Facilitate Proactive Infrastructures,Qualified,2025-08-25,12511.31,Monique,50
OPP237,CUST012,Scale Magnetic Channels,Lead,2025-09-01,12254.68,Chelsea,70
OPP238,CUST001,Disintermediate World-Class E-Tailers,Closed Won,2025-10-13,11162.4,Daniel,90
OPP239,CUST020,Transition Back-End Supply-Chains,Closed Lost,2025-07-19,11368.01,Vanessa,50
OPP240,CUST014,Facilitate Extensible Eyeballs,Proposal,2025-10-08,13644.35,Samantha,30
OPP241,CUST007,Target End-To-End Models,Lead,2025-09-06,3678.77,John,30
OPP242,CUST009,Envisioneer Back-End Methodologies,Closed Lost,2025-12-09,15736.43,David,90
OPP243,CUST004,Re-Intermediate Customized Initiatives,Negotiation,2025-07-29,4554.31,Alicia,30
OPP244,CUST001,Incubate World-Class Applications,Closed Lost,2025-08-18,17067.74,Martha,90
OPP245,CUST006,Leverage One-To-One E-Business,Qualified,2025-11-06,16345.04,Robin,50
OPP246,CUST010,Cultivate Holistic Markets,Proposal,2025-07-13,7379.28,Kimberly,30
OPP247,CUST002,Synergize Customized Partnerships,Closed Won,2025-07-04,5457.52,William,30
OPP248,CUST008,Harness Visionary Experiences,Proposal,2025-07-17,14370.78,Mindy,30
OPP249,CUST013,Cultivate Robust E-Commerce,Qualified,2025-09-21,5635.94,Christopher,70
OPP250,CUST013,Re-Contextualize Cross-Media Action-Items,Closed Won,2025-09-06,2832.74,Abigail,90
OPP251,CUST015,Leverage Mission-Critical Convergence,Proposal,2025-08-30,19065.47,Vicki,90
OPP252,CUST015,Optimize 24/365 Info-Mediaries,Closed Won,2025-09-23,2770.03,Robert,90
OPP253,CUST018,Seize Best-Of-Breed Roi,Closed Lost,2025-11-12,15172.85,Ashley,70
OPP254,CUST006,Implement Out-Of-The-Box Web-Readiness,Closed Won,2025-09-27,15351.39,Bryan,90
OPP255,CUST015,Extend E-Business Eyeballs,Qualified,2025-10-02,13056.55,Susan,90
OPP256,CUST018,Benchmark Cross-Platform Methodologies,Negotiation,2025-12-04,9042.37,Brandon,30
OPP257,CUST017,Matrix Compelling Applications,Negotiation,2025-09-18,9473.11,Patricia,70
OPP258,CUST002,Syndicate Turn-Key Methodologies,Closed Won,2025-07-15,15395.07,Raven,90
OPP259,CUST010,Productize Leading-Edge Systems,Proposal,2025-10-28,11157.8,Rachel,30
OPP260,CUST017,Exploit Cutting-Edge E-Services,Closed Lost,2025-08-17,3084.2,Richard,10
OPP261,CUST011,Re-Contextualize Distributed E-Commerce,Proposal,2025-10-28,833.1,Nicole,50
OPP262,CUST001,Embrace Rich E-Tailers,Closed Lost,2025-11-25,3046.64,Kyle,10
OPP263,CUST016,Repurpose User-Centric E-Commerce,Qualified,2025-11-13,8087.02,Jason,70
OPP264,CUST009,E-Enable Next-Generation Vortals,Lead,2025-07-18,2821.88,Daniel,90
OPP265,CUST012,Maximize Global Mindshare,Lead,2025-08-15,5892.15,Lisa,50
OPP266,CUST013,Morph Customized E-Markets,Closed Lost,2025-08-21,17513.56,Jeffrey,70
OPP267,CUST001,Enhance Front-End Applications,Lead,2025-09-11,725.97,Jessica,30
OPP268,CUST007,Deliver Holistic Models,Negotiation,2025-10-06,10952.66,Rebecca,10
OPP269,CUST010,Monetize Collaborative Portals,Qualified,2025-10-25,17748.44,Kelly,50
OPP270,CUST001,Extend Sticky Applications,Closed Won,2025-10-05,17309.93,Christine,30
OPP271,CUST005,Deliver Magnetic Applications,Proposal,2025-07-17,10874.15,Justin,10
OPP272,CUST014,Orchestrate Real-Time Technologies,Lead,2025-10-30,16449.62,Jose,50
OPP273,CUST011,Seize Distributed Info-Mediaries,Closed Lost,2025-09-18,11729.89,Laura,10
OPP274,CUST013,Empower Rich Users,Proposal,2025-08-26,13106.57,Jose,30
OPP275,CUST006,Re-Contextualize Real-Time Web-Readiness,Negotiation,2025-09-21,10649.88,Tracy,70
OPP276,CUST020,Visualize Turn-Key Web-Readiness,Qualified,2025-07-06,7942.58,Christine,30
OPP277,CUST001,Seize Visionary Solutions,Lead,2025-08-30,784.23,Mary,70
OPP278,CUST003,Leverage Mission-Critical Users,Negotiation,2025-09-08,3074.51,Sarah,10
OPP279,CUST006,Exploit Synergistic Applications,Qualified,2025-11-20,3229.76,Blake,90
OPP280,CUST001,Seize Mission-Critical Models,Lead,2025-07-26,10873.89,Andrew,30
OPP281,CUST013,Enhance Open-Source Schemas,Negotiation,2025-08-11,6694.46,Charles,30
OPP282,CUST017,Innovate 24/365 Architectures,Negotiation,2025-08-27,19939.38,Bryan,10
OPP283,CUST014,Architect Magnetic E-Commerce,Proposal,2025-12-10,7250.09,Michael,50
OPP284,CUST019,Drive Distributed Technologies,Closed Won,2025-09-16,7299.4,Anthony,10
